"","rowname","iter","sim","approach","value"
"197","rmse",33,"I","fitsumStats",0.0149670983336525
"198","rmse",33,"I","fit_NT_stats",0.017037870382731
"199","R2",34,"I","fit_all_stats",0.999047851334842
"200","R2",34,"I","fitsumStats",0.999472012216712
"201","R2",34,"I","fit_NT_stats",0.998520044265754
"202","rmse",34,"I","fit_all_stats",0.0565260123695816
"203","rmse",34,"I","fitsumStats",0.0083508094152
"204","rmse",34,"I","fit_NT_stats",0.0139810889300214
"205","R2",35,"I","fit_all_stats",0.998870642723711
"206","R2",35,"I","fitsumStats",0.99914926041322
"207","R2",35,"I","fit_NT_stats",0.998943391812068
"208","rmse",35,"I","fit_all_stats",0.0666158432510162
"209","rmse",35,"I","fitsumStats",0.0117368226656371
"210","rmse",35,"I","fit_NT_stats",0.0130800440842915
"211","R2",36,"I","fit_all_stats",0.998577307473255
"212","R2",36,"I","fitsumStats",0.999095010637744
"213","R2",36,"I","fit_NT_stats",0.999270698132027
"214","rmse",36,"I","fit_all_stats",0.0880553291987356
"215","rmse",36,"I","fitsumStats",0.0135942302950031
"216","rmse",36,"I","fit_NT_stats",0.0122035602233959
"217","R2",37,"I","fit_all_stats",0.998617929687635
"218","R2",37,"I","fitsumStats",0.998661568753175
"219","R2",37,"I","fit_NT_stats",0.998164083958743
"220","rmse",37,"I","fit_all_stats",0.0840426828426336
"221","rmse",37,"I","fitsumStats",0.0148604509938418
"222","rmse",37,"I","fit_NT_stats",0.0174044524415487
"223","R2",38,"I","fit_all_stats",0.998634833704524
"224","R2",38,"I","fitsumStats",0.999258126029526
"225","R2",38,"I","fit_NT_stats",0.999264125335703
"226","rmse",38,"I","fit_all_stats",0.0852999477006869
"227","rmse",38,"I","fitsumStats",0.0119574167326734
"228","rmse",38,"I","fit_NT_stats",0.011908970619555
"229","R2",39,"I","fit_all_stats",0.998876394533226
"230","R2",39,"I","fitsumStats",0.999167786040062
"231","R2",39,"I","fit_NT_stats",0.998937815177614
"232","rmse",39,"I","fit_all_stats",0.0663503126758647
"233","rmse",39,"I","fitsumStats",0.0116259387683593
"234","rmse",39,"I","fit_NT_stats",0.013134410294928
"235","R2",40,"I","fit_all_stats",0.998657328993658
"236","R2",40,"I","fitsumStats",0.998927626737315
"237","R2",40,"I","fit_NT_stats",0.997934557244622
"238","rmse",40,"I","fit_all_stats",0.0824363771813848
"239","rmse",40,"I","fitsumStats",0.0130286402329088
"240","rmse",40,"I","fit_NT_stats",0.0180814262620778
"241","R2",41,"I","fit_all_stats",0.99867120011153
"242","R2",41,"I","fitsumStats",0.999410788527237
"243","R2",41,"I","fit_NT_stats",0.997817188069596
"244","rmse",41,"I","fit_all_stats",0.0771316589442216
"245","rmse",41,"I","fitsumStats",0.00846144166736777
"246","rmse",41,"I","fit_NT_stats",0.0162860936170445
"247","R2",42,"I","fit_all_stats",0.999046032198992
"248","R2",42,"I","fitsumStats",0.999471977248283
"249","R2",42,"I","fit_NT_stats",0.998529303691158
"250","rmse",42,"I","fit_all_stats",0.0566211405406512
"251","rmse",42,"I","fitsumStats",0.00837185331158565
"252","rmse",42,"I","fit_NT_stats",0.013971942619242
"253","R2",43,"I","fit_all_stats",0.999017777654061
"254","R2",43,"I","fitsumStats",0.999565525203636
"255","R2",43,"I","fit_NT_stats",0.99890182211214
"256","rmse",43,"I","fit_all_stats",0.0589109328147528
"257","rmse",43,"I","fitsumStats",0.00814680304255324
"258","rmse",43,"I","fit_NT_stats",0.0129521322483762
"259","R2",44,"I","fit_all_stats",0.998660928706985
"260","R2",44,"I","fitsumStats",0.99893656231289
"261","R2",44,"I","fit_NT_stats",0.997920313127851
"262","rmse",44,"I","fit_all_stats",0.082286056416744
"263","rmse",44,"I","fitsumStats",0.0129470857545121
"264","rmse",44,"I","fit_NT_stats",0.0181056856598873
"265","R2",45,"I","fit_all_stats",0.998760079073986
"266","R2",45,"I","fitsumStats",0.999096302764932
"267","R2",45,"I","fit_NT_stats",0.998495365087794
"268","rmse",45,"I","fit_all_stats",0.0719597694790847
"269","rmse",45,"I","fitsumStats",0.0114070756934524
"270","rmse",45,"I","fit_NT_stats",0.0147190036812103
"271","R2",46,"I","fit_all_stats",0.998609204843241
"272","R2",46,"I","fitsumStats",0.998821166226206
"273","R2",46,"I","fit_NT_stats",0.998772668477579
"274","rmse",46,"I","fit_all_stats",0.0850720862627513
"275","rmse",46,"I","fitsumStats",0.014464401093373
"276","rmse",46,"I","fit_NT_stats",0.0147589382428733
"277","R2",47,"I","fit_all_stats",0.999299912980948
"278","R2",47,"I","fitsumStats",0.998921633989354
"279","R2",47,"I","fit_NT_stats",0.998750357445431
"280","rmse",47,"I","fit_all_stats",0.0445867087652902
"281","rmse",47,"I","fitsumStats",0.0103419012533528
"282","rmse",47,"I","fit_NT_stats",0.0111329483532461
"283","R2",48,"I","fit_all_stats",0.999997680741947
"284","R2",48,"I","fitsumStats",0.999948120218097
"285","R2",48,"I","fit_NT_stats",0.99990923418532
"286","rmse",48,"I","fit_all_stats",0.00196522858815269
"287","rmse",48,"I","fitsumStats",0.000163451423266705
"288","rmse",48,"I","fit_NT_stats",0.000216197561278596
"289","R2",49,"I","fit_all_stats",0.999170190851153
"290","R2",49,"I","fitsumStats",0.99966737638132
"291","R2",49,"I","fit_NT_stats",0.998594714891175
"292","rmse",49,"I","fit_all_stats",0.0508866346715336
"293","rmse",49,"I","fitsumStats",0.00581159637752663
"294","rmse",49,"I","fit_NT_stats",0.0119454117592946
"295","R2",50,"I","fit_all_stats",0.99999999984833
"296","R2",50,"I","fitsumStats",0.9995193133765
"297","R2",50,"I","fit_NT_stats",0.99970289626695
"298","rmse",50,"I","fit_all_stats",1.58459710814784e-05
"299","rmse",50,"I","fitsumStats",3.76530740529124e-06
"300","rmse",50,"I","fit_NT_stats",2.96021649556141e-06
"301","R2",51,"I","fit_all_stats",0.999370128333779
"302","R2",51,"I","fitsumStats",0.998940081558734
"303","R2",51,"I","fit_NT_stats",0.999041006544087
"304","rmse",51,"I","fit_all_stats",0.0415484588918184
"305","rmse",51,"I","fitsumStats",0.0103402934031509
"306","rmse",51,"I","fit_NT_stats",0.00983568155871131
"307","R2",52,"I","fit_all_stats",0.999502116470074
"308","R2",52,"I","fitsumStats",0.999316813207027
"309","R2",52,"I","fit_NT_stats",0.998995907623675
"310","rmse",52,"I","fit_all_stats",0.0353015201972126
"311","rmse",52,"I","fitsumStats",0.00781490065120833
"312","rmse",52,"I","fit_NT_stats",0.00947415673242327
"313","R2",53,"I","fit_all_stats",0.998674840709086
"314","R2",53,"I","fitsumStats",0.999467367231003
"315","R2",53,"I","fit_NT_stats",0.998130100987503
"316","rmse",53,"I","fit_all_stats",0.0774495342846622
"317","rmse",53,"I","fitsumStats",0.00799137137215081
"318","rmse",53,"I","fit_NT_stats",0.01497326285587
"319","R2",54,"I","fit_all_stats",0.998689678985643
