"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"106","N_total",0.0171330420295997,0,0.0151350713158039,1.03529047499998e-34,0.0278523318740039,1.19019824035005e-174,0,0.0110434615038191,0.0134110089614289,0,0.01,3.21378299633859,0.499999826518018,100,"TAindex",10,22
"107","5yrs20ages",1.05413723887757,0.83416849111395,NA,NA,NA,NA,NA,NA,NA,NA,0.0457013310673616,1.1751730846474,0.979362366693731,5,"hier",2,22
"108","10yrs10ages",0.133915559038573,0.11709029288652,3.8636368895965e-10,NA,NA,NA,NA,NA,NA,NA,0.01,2.82705542900091,0.981316356382826,10,"hier",3,22
"109","20yrs5ages",0.0910940634856194,0.0688802017501885,1.52154745796834e-256,0.176497688844364,NA,NA,NA,NA,NA,NA,0.01,2.0843046705108,0.995387425836113,20,"hier",4,22
"110","25yrs4ages",0.103146621965396,0.018514364186451,0.0106264729935873,7.99557348249304e-08,0.0232517692533091,NA,NA,NA,NA,NA,0.01,2.88668784763855,0.999574392539361,25,"hier",5,22
"111","N_total",0.0174410784174456,0,0.0147820781590308,1.00684150945858e-31,0.0265824070601872,0,0,0.0126210157119372,0.0123377779879647,0,0.01,3.20593011350478,0.500000076493016,100,"TAindex",10,23
"112","5yrs20ages",1.11700534772662,0.81810862012265,NA,NA,NA,NA,NA,NA,NA,NA,0.0243049392722618,1.07985838044755,0.964474589396067,5,"hier",2,23
"113","10yrs10ages",0.115284895270675,0.0653335915744531,2.00711610710084e-31,NA,NA,NA,NA,NA,NA,NA,0.01,3.20308583094521,0.982857683903974,10,"hier",3,23
"114","20yrs5ages",0.0797942051832359,0.0690242183892203,2.29984598456662e-88,0.174102560327785,NA,NA,NA,NA,NA,NA,0.01,2.21544704200051,0.996600439137218,20,"hier",4,23
"115","25yrs4ages",0.0964834600061198,0.0171479021498286,0.010227162011714,1.01048661844173e-08,0.0277179324058854,NA,NA,NA,NA,NA,0.01,2.89691079628773,0.999548107097111,25,"hier",5,23
"116","N_total",0.0177016095595436,0,0.0144898311124761,2.36355962793103e-139,0.0257434140001515,0,0,0.0136494588260417,0.0115059562884915,0,0.01,3.20330717903219,0.499999826518018,100,"TAindex",10,24
"117","5yrs20ages",1.20669127587807,0.835066010392248,NA,NA,NA,NA,NA,NA,NA,NA,0.0290086324874459,1.0503426480791,0.993405924092006,5,"hier",2,24
"118","10yrs10ages",0.190256836077922,0.0947025422286768,1.76134114637255e-105,NA,NA,NA,NA,NA,NA,NA,0.01,2.87380757707253,0.987708659069248,10,"hier",3,24
"119","20yrs5ages",0.136366902294493,0.0902191992506932,1.7588017794384e-243,0.108045947393227,NA,NA,NA,NA,NA,NA,0.01,2.02265555211296,0.99778645211425,20,"hier",4,24
"120","25yrs4ages",0.113956040612718,0.0302792431315816,0.00147281182443674,8.94969838872973e-13,0.0308707001475597,NA,NA,NA,NA,NA,0.01,2.86242223835671,0.999575176609653,25,"hier",5,24
"121","N_total",0.0172792781222192,0,0.0149237078723719,6.08111335364442e-58,0.0268153930293904,0,0,0.0122007236206585,0.0126447365543298,0,0.01,3.2110737822723,0.500000076493016,100,"TAindex",10,25
"122","5yrs20ages",0.541787448416247,0.553008342231164,NA,NA,NA,NA,NA,NA,NA,NA,0.0317794629764026,1.30527809582472,0.955149870004873,5,"hier",2,25
"123","10yrs10ages",0.110618585224198,0.0775121814899773,2.69615387043543e-13,NA,NA,NA,NA,NA,NA,NA,0.01,3.07315202281186,0.981637080829581,10,"hier",3,25
"124","20yrs5ages",0.0793880032677966,0.0670657348008503,4.13374075923308e-44,0.17969300230876,NA,NA,NA,NA,NA,NA,0.01,2.18025473676398,0.995966849488167,20,"hier",4,25
"125","25yrs4ages",0.0936201681564978,0.0151100423791804,0.0122220646980082,6.39896541055462e-12,0.0257182548022765,NA,NA,NA,NA,NA,0.01,2.88745685867876,0.999554174387961,25,"hier",5,25
"126","N_total",0.0172105799388456,0,0.0151589909682065,3.30338633218233e-19,0.0285349969293924,1.67731000981363e-19,0,0.009762790328117,0.0140109245534453,0,0.01,3.22830242210531,0.499999826518018,100,"TAindex",10,26
"127","5yrs20ages",1.74486543275224,2.12485648037341,NA,NA,NA,NA,NA,NA,NA,NA,0.0107467326062338,1.23913171849461,0.993952051083652,5,"hier",2,26
"128","10yrs10ages",0.145724689296505,0.093720336879113,0.0162360415601828,NA,NA,NA,NA,NA,NA,NA,0.01,2.74998296450525,0.975847781534556,10,"hier",3,26
"129","20yrs5ages",0.0935468028231405,0.05934034050198,0.000772069264193902,0.184404076504434,NA,NA,NA,NA,NA,NA,0.01,2.14625910707778,0.995299489763427,20,"hier",4,26
"130","25yrs4ages",0.156108777793011,0.0098076074846061,0.0463954676119865,4.92515066205143e-29,3.19100768918017e-28,NA,NA,NA,NA,NA,0.01,2.92919130786091,0.999699235577513,25,"hier",5,26
"131","N_total",0.0179477967525533,0,0.014258784828331,2.71763345801173e-14,0.0248581207021933,0,0,0.0146917689127457,0.0106666043404452,0,0.01,3.19420821378497,0.500000076493016,100,"TAindex",10,27
"132","5yrs20ages",0.763315608468059,0.984898428858813,NA,NA,NA,NA,NA,NA,NA,NA,0.035431961861921,1.142074510866,0.979157632853062,5,"hier",2,27
"133","10yrs10ages",0.161305724958055,0.112370966592595,1.78338685348033e-160,NA,NA,NA,NA,NA,NA,NA,0.01,2.74525756899826,0.988097651880621,10,"hier",3,27
"134","20yrs5ages",0.111315340258408,0.0953126396139219,0,0.12931332767871,NA,NA,NA,NA,NA,NA,0.01,1.98164932789942,0.998083991346609,20,"hier",4,27
"135","25yrs4ages",0.104866038102133,0.0305524384103273,0.0008410227272415,9.23372481532393e-38,0.0296948521310624,NA,NA,NA,NA,NA,0.01,2.98825263871458,0.999581357118289,25,"hier",5,27
