"","rowname","iter","sim","approach","value"
"420","rmse",70,"I","fit_NT_stats",0.00756928420873623
"421","R2",71,"I","fit_all_stats",0.999874834781614
"422","R2",71,"I","fitsumStats",0.99974496550085
"423","R2",71,"I","fit_NT_stats",0.999554872181092
"424","rmse",71,"I","fit_all_stats",0.0163273777364023
"425","rmse",71,"I","fitsumStats",0.0037026008518988
"426","rmse",71,"I","fit_NT_stats",0.00489158718958955
"427","R2",72,"I","fit_all_stats",0.999528613287162
"428","R2",72,"I","fitsumStats",0.999380003931612
"429","R2",72,"I","fit_NT_stats",0.999454148729504
"430","rmse",72,"I","fit_all_stats",0.0430521342225226
"431","rmse",72,"I","fitsumStats",0.00883610988785533
"432","rmse",72,"I","fit_NT_stats",0.00829094059114333
"433","R2",73,"I","fit_all_stats",0.999564405482906
"434","R2",73,"I","fitsumStats",0.999249708271032
"435","R2",73,"I","fit_NT_stats",0.999408973226534
"436","rmse",73,"I","fit_all_stats",0.0408057999455924
"437","rmse",73,"I","fitsumStats",0.00930695390301635
"438","rmse",73,"I","fit_NT_stats",0.00826030457220891
"439","R2",74,"I","fit_all_stats",0.99992258362817
"440","R2",74,"I","fitsumStats",0.999880791754073
"441","R2",74,"I","fit_NT_stats",0.999699930204954
"442","rmse",74,"I","fit_all_stats",0.0122158544569645
"443","rmse",74,"I","fitsumStats",0.00213615448631742
"444","rmse",74,"I","fit_NT_stats",0.00338914889915796
"445","R2",75,"I","fit_all_stats",0.999466883419562
"446","R2",75,"I","fitsumStats",0.998634406302156
"447","R2",75,"I","fit_NT_stats",0.99939957661627
"448","rmse",75,"I","fit_all_stats",0.0548188480423813
"449","rmse",75,"I","fitsumStats",0.0137856513463431
"450","rmse",75,"I","fit_NT_stats",0.00914103427653013
"451","R2",76,"I","fit_all_stats",0.999473686423643
"452","R2",76,"I","fitsumStats",0.998635604669608
"453","R2",76,"I","fit_NT_stats",0.999418683215367
"454","rmse",76,"I","fit_all_stats",0.0541248880231046
"455","rmse",76,"I","fitsumStats",0.0135248710185216
"456","rmse",76,"I","fit_NT_stats",0.00882814486892199
"457","R2",77,"I","fit_all_stats",0.999701273174654
"458","R2",77,"I","fitsumStats",0.999287448815849
"459","R2",77,"I","fit_NT_stats",0.9994765461442
"460","rmse",77,"I","fit_all_stats",0.0302377114722421
"461","rmse",77,"I","fitsumStats",0.00880340251729028
"462","rmse",77,"I","fit_NT_stats",0.00754539062363503
"463","R2",78,"I","fit_all_stats",0.999528767746105
"464","R2",78,"I","fitsumStats",0.999692560675012
"465","R2",78,"I","fit_NT_stats",0.999631702741992
"466","rmse",78,"I","fit_all_stats",0.0470051408081373
"467","rmse",78,"I","fitsumStats",0.00755635166461297
"468","rmse",78,"I","fit_NT_stats",0.00827049865063091
"469","R2",79,"I","fit_all_stats",0.999524963048871
"470","R2",79,"I","fitsumStats",0.999794464977817
"471","R2",79,"I","fit_NT_stats",0.999636577690362
"472","rmse",79,"I","fit_all_stats",0.0449280960822884
"473","rmse",79,"I","fitsumStats",0.00599860813888672
"474","rmse",79,"I","fit_NT_stats",0.00797651832696678
"475","R2",80,"I","fit_all_stats",0.99978264288649
"476","R2",80,"I","fitsumStats",0.999489939046721
"477","R2",80,"I","fit_NT_stats",0.999430539336231
"478","rmse",80,"I","fit_all_stats",0.023669527776625
"479","rmse",80,"I","fitsumStats",0.00575995350298266
"480","rmse",80,"I","fit_NT_stats",0.00608611008387514
"481","R2",81,"I","fit_all_stats",0.999459083863691
"482","R2",81,"I","fitsumStats",0.999614769942889
"483","R2",81,"I","fit_NT_stats",0.99968617184048
"484","rmse",81,"I","fit_all_stats",0.0512122659482306
"485","rmse",81,"I","fitsumStats",0.00816938337000389
"486","rmse",81,"I","fit_NT_stats",0.00737352486894294
"487","R2",82,"I","fit_all_stats",0.999998302924989
"488","R2",82,"I","fitsumStats",0.999915919645754
"489","R2",82,"I","fit_NT_stats",0.99989528991269
"490","rmse",82,"I","fit_all_stats",0.00168102644962175
"491","rmse",82,"I","fitsumStats",0.000291473879633792
"492","rmse",82,"I","fit_NT_stats",0.000325271967093903
"493","R2",83,"I","fit_all_stats",0.999702626968079
"494","R2",83,"I","fitsumStats",0.999371094845616
"495","R2",83,"I","fit_NT_stats",0.999403063191115
"496","rmse",83,"I","fit_all_stats",0.0298039893210918
"497","rmse",83,"I","fitsumStats",0.00790751865814053
