"","index","recnoise1","recnoise2","meanpeaks","varprey","meanPeriod","sdperiod"
"338","338",0.223755493518277,-0.934174193496685,0.85,830.951257619223,9.24821428571429,0.010417785475184
"339","339",NA,NA,NA,NA,NA,NA
"340","340",0.140004377324792,-0.530301702606619,0.9,1584.72791323648,8.68744588744589,0.0163099148182633
"341","341",NA,NA,NA,NA,NA,NA
"342","342",1.16227404481231,-0.30860737445364,0.2,31718.121133217,38.125,1.41072023411709
"343","343",NA,NA,NA,NA,NA,NA
"344","344",NA,NA,NA,NA,NA,NA
"345","345",1.32436147396131,-0.423360415600031,0.4,49699.1292274707,44.0166666666667,3.68293837685608
"346","346",1.92024154249567,0.894061635682038,0.4,135844.896573819,33.6616666666667,0.923271262718278
"347","347",0.799134915850847,-1.27426691694295,0.35,17945.2905524798,34.575,1.91032513077307
"348","348",1.69430424667967,-0.327136038564824,0.4,73897.8533323935,77.8833333333333,7.36934935672889
"349","349",0.235291835162595,-1.0250625705211,0.9,725.495041327288,9.31369047619048,0.0246937924798724
"350","350",0.928481641506031,1.01597226032922,1.35,9199.5507405648,6.15309169901969,0.572144304521904
"351","351",1.44773088898621,0.702026532718846,0.1,47678.7719079913,31.845,1.39188437208813
"352","352",0.103528707712476,-0.224383688328753,1.15,1782.39819323498,7,0
"353","353",NA,NA,NA,NA,NA,NA
"354","354",0.997192314712121,0.559790618967559,0.25,24439.6648357159,26.8333333333333,0
"355","355",NA,NA,NA,NA,NA,NA
"356","356",0.223705053439422,0.351636384774209,1.45,2342.65109290676,6.2326410230903,0.581525485219652
"357","357",NA,NA,NA,NA,NA,NA
"358","358",NA,NA,NA,NA,NA,NA
"359","359",NA,NA,NA,NA,NA,NA
"360","360",-0.0424553037959239,-1.08163590982098,0.9,649.784421044472,9.04785714285714,0.000732841680061095
"361","361",NA,NA,NA,NA,NA,NA
"362","362",NA,NA,NA,NA,NA,NA
"363","363",-0.53267165404448,-2.0786731904778,0.65,1851.22363595561,15.4969696969697,0.281774447396231
"364","364",NA,NA,NA,NA,NA,NA
"365","365",1.35229676852105,-0.671307027800787,0.35,43619.6497423482,35.3325,1.74990789231289
"366","366",1.30183566566557,0.00901232979673865,0.4,37989.7312936542,36.6075,0.269148266711275
"367","367",0.409076536868381,-1.42321872369924,0.4,9197.43373103308,31.5316666666667,0.901815906837178
"368","368",0.095217589648235,-0.473118889136479,0.95,1633.57433342594,8.45316205533597,0.0137684560186984
"369","369",NA,NA,NA,NA,NA,NA
"370","370",1.13073079356388,-1.30518487113639,0.65,33728.5456689671,37.365,0.153125335660211
"371","371",0.10853122776788,-0.00296298911606329,1.1,1912.31232724243,6.71305418719212,0.0109424053773234
"372","372",0.185939377604035,0.14844270209436,1.3,2238.32263530211,6.62740147783251,0.0142025227841002
"373","373",1.00911569122823,0.366553742017736,0.4,22361.0252219119,23.8952380952381,0.742323566485712
"374","374",0.130851285461367,0.541826031294722,1.65,1688.78704665047,12.8934875288136,4.75502139925073
"375","375",NA,NA,NA,NA,NA,NA
"376","376",NA,NA,NA,NA,NA,NA
"377","377",0.279152402548636,0.780758857263961,0.8,2328.41856008659,38.1049587074848,31.1586111696008
"378","378",0.0974548693834543,0.0173271521363965,1.15,1887.40175004727,6.68577586206897,0.00542394626153458
"379","379",-1.18083485236834,-0.875446952569439,1.2,287.930478114042,6.75264778325123,0.0107010160437486
"380","380",NA,NA,NA,NA,NA,NA
"381","381",-0.325855232715088,-0.0564617599725429,1.3,949.90539494319,6.44540229885058,0.0261165805575083
"382","382",0.864038297063745,1.06434676565341,0.3,17030.0350496389,23.8627651515152,6.22140882558438
"383","383",-0.0790395088220476,-1.23785302107865,0.9,506.502497877903,9.14571428571429,0.0035901763567864
"384","384",-0.385932952979602,0.11590859131847,0.8,685.079246691446,13.0449660004465,5.03932898518205
"385","385",0.162939074066124,0.474131199779899,1.4,1933.39215789971,6.03515035736098,0.415512035833479
"386","386",0.601775305383456,-1.58610830110544,0.35,15565.6301481724,32.9233333333333,0.946096937530546
"387","387",-0.552927677493153,-0.0959611717059812,1.35,582.02121681054,7.48693600003195,1.01106582905116
"388","388",0.794463061340529,-1.2736880646613,0.1,18826.3391389837,32.4,0
"389","389",1.57150064579001,0.359915715017001,0.35,51345.7151766164,40.6,1.23117402250218
"390","390",-0.133707389360615,-1.0760998020424,0.85,664.885484502428,8.90584415584416,0.00192321064207447
"391","391",NA,NA,NA,NA,NA,NA
"392","392",NA,NA,NA,NA,NA,NA
"393","393",1.07984859143799,0.107469366522555,0.4,24518.8648153475,39.875,0.886670294149023
"394","394",1.15482476557223,-1.24674013200747,0.3,31200.0376042175,57.3166666666667,3.17561063796817
"395","395",0.459223006075531,-1.04750932472227,0.35,10683.2728369496,32.605,2.27300519831763
"396","396",1.75229145420726,0.0580225949397982,0.4,92653.4371170619,33.3716666666667,0.126710518724987
"397","397",0.735589421629223,-1.88911408622428,0.35,17073.9376892135,29.125,4.9609218512324
"398","398",-0.267188614588459,-1.39778442468561,0.9,418.731998357669,9.04785714285714,0.000732841680061095
"399","399",-0.685043322982102,-2.59141666715035,0.4,1417.76900672557,18.7244444444444,0.346552687815429
"400","400",-0.351595464650925,-1.60039476848351,0.75,329.624963876503,11.4724264705882,0.0265784052967581
"401","401",-0.658634579225029,-0.613096583236713,1.2,569.195129400435,6.75837438423645,0.0124480783052209
"402","402",0.174400741292124,0.663234162037793,1.2,1888.64667759096,19.6550001739676,10.48573371296
"403","403",-0.697920042796905,-0.0423881466034522,0.6,474.376962104682,18.6166951328399,8.44863098406436
"404","404",-0.288037492727818,-0.560955715821043,1.15,905.300137063739,7.17450142450142,0.0182863749819382
"405","405",0.575525004502548,-0.243471011400551,0.5,13604.7836494916,27.04,2.13403497233712
"406","406",0.59452730808311,-0.375446720369084,0.35,13712.2823542368,32.9,0.447213595499958
"407","407",0.424485497091671,0.585756180951663,1.25,3397.64277213427,6.16035611168978,0.563155970748187
"408","408",0.815289884444959,-1.06851110337029,0.2,18734.4869691543,28.6666666666667,0
"409","409",-1.12178375559281,-1.45209203175671,1,374.372062974685,7.95815217391304,0.00055759693048103
"410","410",0.560571702488423,0.60063942880155,1.25,4328.26171228175,6.46889587968113,0.109017207038701
"411","411",NA,NA,NA,NA,NA,NA
"412","412",0.814446101041497,1.53815653139079,1.1,7398.30055391858,21.6728442028985,5.06980878777059
"413","413",-1.03983505648412,-1.43949335676468,1,389.250075576613,8.04239130434783,0.000910551974547112
"414","414",0.411545197436271,-0.743100424602697,0.5,6875.28750242133,26.6142857142857,0.337743825279606
"415","415",-0.868358745938119,-0.647752651708382,1.25,413.322614720395,6.68879310344828,0.0100931456500821
"416","416",NA,NA,NA,NA,NA,NA
"417","417",0.303522129665467,-0.518460485025859,0.9,1704.65792611413,9,0
"418","418",0.0187267731075372,0.149823301602708,1.1,1657.29610297914,6.49396551724138,0.0170359816235879
"419","419",0.350982996279184,0.636770314622659,1.3,2797.3076464438,5.98043605965807,0.357630975966501
"420","420",NA,NA,NA,NA,NA,NA
"421","421",NA,NA,NA,NA,NA,NA
"422","422",-1.32516764947544,-1.34546170152639,1.1,314.670630899902,7.43753846153846,0.0145558129646534
"423","423",2.31280106481528,-0.0679941820369937,0.4,182038.357492163,57.1083333333333,13.2712672751218
"424","424",NA,NA,NA,NA,NA,NA
"425","425",1.35226327594715,1.05453393924738,1.15,35594.9473209896,6.79405902207626,0.033994881706183
"426","426",0.348839454921514,-1.34518612675418,0.3,7638.65041782937,24.2857142857143,0
"427","427",0.725503946196056,0.899707261895547,1.1,10051.0901130728,12.6673891441721,4.69739418948432
"428","428",-0.0914356714145038,-0.947128747969156,0.95,806.949501666327,8.87099567099567,0.0202001214266787
"429","429",-1.13028114989776,-1.38009372829222,1.05,376.709244673198,7.76125,0.0139115312512458
"430","430",NA,NA,NA,NA,NA,NA
"431","431",1.24470234286253,-1.08942713657648,0.35,33625.5613293009,41.2833333333333,2.49391071277118
"432","432",NA,NA,NA,NA,NA,NA
"433","433",-0.448917685479791,0.119287177773316,0.5,629.854190320602,13.5734665430355,5.44884687403301
"434","434",-0.0291893916043174,-2.14986192261202,0.4,5228.85105342078,22.2642857142857,0.369413271842707
"435","435",NA,NA,NA,NA,NA,NA
"436","436",0.145000782388082,0.018688470869427,1.15,2036.3123120938,6.73368226600985,0.0175027185996208
"437","437",0.841535460832898,-0.372215389318186,0.25,18629.5617733344,31.805,0.0122115849510834
"438","438",1.2330623649589,-0.136719183831855,0.4,27349.3583700481,28.4,1.75918641482512
"439","439",-0.844147647976333,-0.383325878088966,1.25,393.989658789272,6.52212643678161,0.014667177745231
"440","440",2.21553817837839,-0.0326217236095554,0,173310.72315368,35,0
